acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,acc_10,acc_11,acc_12,acc_13,acc_14,acc_15,acc_16,acc_17
-0.01068446,-0.01297577,-0.02199731,-0.07233494,-0.0799378,0.0323854,0.00873973,-0.05330521,0.02509414,0.04692945,-0.05219894,0.04826835,0.09899141,0.01138541,0.05279882,0.01137281,0.05939064,-0.08428578
0.07258318,-0.01839292,-0.03062406,-0.11331021,-0.13298657,-0.09395436,-0.04026937,-0.0154734,-0.0387822,0.04661523,-0.06805854,0.05931032,0.156189,0.03362161,0.09418827,-0.01620653,0.01667215,-0.06018857
-0.08358603,-0.02416595,-0.05659871,-0.04132862,-0.1030363,0.06237805,0.03493902,0.01182851,0.06526735,0.00268698,0.07676367,-0.08487804,0.10390656,-0.02828478,0.04522367,0.07606348,-0.05554115,0.02406559
-0.04733325,-0.01487754,0.01297968,-0.09277145,-0.03469996,0.01038707,0.04036408,-0.05112614,0.01822365,0.04999131,0.0762002,-0.07757716,0.05524196,0.03361221,0.07773926,0.02009655,-0.01476487,0.00652961
-0.02974957,0.01922976,-0.03743227,-0.09068701,-0.01118046,-0.02311761,0.01480622,0.01659654,-0.01103209,-0.00134223,0.03642088,-0.01123276,0.05758325,0.04576614,0.05774348,0.00246939,-0.00891766,0.01666794
0.04678564,0.03951274,0.01561542,-0.07981225,-0.05316196,0.00544967,-0.04781901,-0.0610761,-0.05645081,0.06244163,0.01346734,0.01652072,0.05190886,-0.00038851,0.12459638,0.01824803,-0.01277502,-0.02119016
-0.0151115,-0.00812728,-0.05498098,-0.08391913,-0.08342868,0.01151699,0.03639685,0.00543607,-0.0366086,8.162e-05,0.0401168,-0.0328267,0.0287574,0.03193823,0.12249837,-0.03214832,-0.03416905,0.03070263
0.02415931,-0.10285624,0.03679827,-0.05755368,-0.04838616,0.03993109,0.03743806,0.02618008,0.02886821,-0.05790246,-0.13373873,0.09286027,0.06089617,-0.02014433,0.06423685,0.00934684,0.07588402,-0.07793447
0.04044671,0.03885739,-0.0150332,-0.05320711,-0.04558723,-0.0054375,-0.06004215,-0.04076841,-0.03446657,0.01034944,0.00556387,0.04043281,0.04323588,0.02453034,0.04900076,-0.00123274,-0.00821904,0.01095896
0.02802038,0.02894953,0.0217422,-0.0993735,-0.01862069,-0.00040925,-0.02881917,-0.00525415,-0.03785999,-0.0214764,-0.02150798,0.04503024,0.09282331,0.00637481,0.07232099,0.00152712,0.0514718,-0.04797321
0.00076595,0.00500424,0.03510254,-0.02910013,-0.06975278,0.00625879,-0.00203589,-0.00679408,-0.00939487,-0.04553835,-0.04499732,0.01539839,0.03010834,-0.00390786,0.08610371,-0.03079858,-0.06860314,0.09145426
0.05282398,0.05225576,0.03338248,-0.02808964,-0.03613692,0.02101791,-0.0663288,-0.06449705,-0.03840007,0.05114275,-0.04160065,0.03899545,0.05353429,-0.05959683,0.0277407,0.01681227,0.01149541,-0.00386529
0.04652519,-0.02259585,0.05337626,0.01058505,-0.07792091,-0.01829676,-0.02832889,-0.07440409,-0.00572979,0.04334535,0.01005031,0.00021602,-0.00376904,-0.14903917,0.10708096,0.08093109,0.02612259,-0.02605485
-0.02374395,-0.04673773,0.00386183,-0.06306081,-0.09334767,-0.04228923,0.02845395,-0.01660566,0.03704563,0.01816201,-0.0059508,-0.0059779,0.06192576,-0.01357598,0.10622725,0.00419911,-0.03426734,-0.01485964
-0.0167588,-0.0074932,-0.01969194,-0.07649496,-0.07425483,-0.04995474,-0.0134305,-0.0148688,0.04190163,0.0179106,0.00563022,-0.00580893,0.08250069,-0.02388368,0.06164875,0.03810813,0.01476052,-0.02646668
-0.0560012,-0.02878908,-0.02405028,-0.08676099,-0.12997399,-0.04468898,0.01931037,0.01963251,0.05692,-0.00978371,-0.00476352,-0.01937818,0.11486449,-0.00344807,0.09895152,-0.00403918,0.03548469,-0.03748523
0.06620968,0.0623266,0.02054325,-0.04144561,-0.03280302,-0.02206326,-0.06996599,0.00625718,-0.03220016,-0.03318301,-0.10552252,0.07447256,0.01995913,0.04486846,0.02530131,0.01199855,0.00997058,0.06085918
-0.0470168,-0.05645448,-0.02815343,-0.04148451,-0.06622075,0.00752475,-0.0055949,0.10084409,0.07883788,-0.08295885,-0.09680783,0.10262092,0.06210025,-0.01254397,0.06193627,0.02782311,0.00946776,-0.04364505
-0.0290395,-0.01348007,0.02387474,-0.08141754,-0.02412286,0.01750959,0.02323638,-0.01647122,0.02873921,-0.03586309,0.03695924,-0.04136765,0.04675657,0.05386025,0.04718897,-0.0568269,0.00162464,-0.00688121
-0.02017109,0.03477098,0.0446362,-0.05026393,-0.03666384,0.03736881,-0.02079978,-0.01230257,0.0146756,-0.03348044,0.03239528,-0.00632532,0.04064626,0.01984269,0.03845385,-0.02380905,0.02650836,-0.02338823
-0.0023305,0.02710717,0.0730499,-0.05515134,-0.07277031,0.01950543,0.0070541,-0.04092325,0.00494213,0.01110877,-0.00882386,-0.01334258,0.06112999,0.00833328,0.08680572,-0.04494225,-0.0088098,-0.00101678
-0.0592713,-0.07256131,-0.04544502,-0.00684554,-0.02866155,-0.0477566,0.06955533,-0.020844,0.06052082,0.03602673,-0.03284424,0.04799472,0.00360231,0.0082084,0.05121857,-0.05493114,0.00876414,-0.01044826
0.02109227,-0.01070891,-0.0366689,-0.03240045,-0.01991314,-0.06967145,-0.01282651,-0.06475191,-0.02523595,0.07855053,-0.01805406,0.0282207,0.01953899,0.00499718,0.03079572,-0.00491056,0.0480712,-0.0245448
-0.05379231,-0.02589571,-0.08770655,-0.03698315,-0.04011157,-0.07009113,0.0635699,-0.02601082,0.01977997,0.02765608,0.0182849,0.01787278,0.05199143,0.02035695,0.02965404,-0.0341088,0.0732412,-0.05806012
-0.00354402,-0.02719328,-0.02418207,-0.08848395,-0.10077976,-0.07031966,0.00946021,-0.00611215,0.0311961,0.01422498,-0.01740744,-0.00202217,0.06430873,0.11548983,0.1000167,-0.07827009,0.04629985,-0.02231032
-0.01622089,-0.02057103,-0.04449072,-0.08884203,-0.10413997,-0.0177633,0.014513,0.02322543,0.0182434,-0.01278744,-0.01031761,0.01614646,0.07314431,0.03602754,0.108461,-0.02564275,0.00894168,-0.00298724
-0.10730958,-0.07508754,-0.04372445,-0.03034626,-0.03935227,-0.06251378,0.10431122,0.0101247,0.08353733,0.0155502,0.06063146,-0.06529988,0.01878405,0.07168896,0.04232401,-0.0680208,0.06448071,-0.03695312
0.07173557,0.04370832,0.00982671,-0.06188309,-0.06861274,0.0235476,-0.08466924,-0.09068152,-0.02270849,0.07145802,0.00352957,0.00773271,0.0878164,-0.0241979,0.07229724,-0.00217726,-0.00614913,-0.04147838
0.02316755,0.01655158,0.00100475,-0.02290652,-0.04986753,-0.03350036,0.01445334,-0.06746471,-0.05524619,0.11653363,-0.03228057,0.03893096,0.03095401,-0.05312385,0.04402927,0.05467625,0.03763377,0.00398448
0.0030354,-0.04678723,-0.00916769,-0.04834272,-0.06629959,-0.06913506,-0.00512997,-0.03878212,0.03012336,0.08531255,0.00131765,-3.098e-05,0.04789565,0.00577546,0.11328798,-0.02344064,0.00749992,0.02001241
-0.08822538,-0.10887585,0.00057609,-0.05897402,-0.02436996,-0.00105,0.12673917,0.03048421,0.07070119,-0.02137031,0.0037077,0.02189379,0.02278331,-0.02235783,0.0591547,-0.01004845,-0.01092505,0.03552881
-0.05575799,-0.05563304,-0.03376509,-0.0906532,-0.03718901,0.00361275,0.05778061,0.03048545,0.05575456,-0.02192856,-0.01897923,0.0475654,0.05865243,0.04187682,0.04409322,-0.04434977,0.02228771,0.0444449
0.03432329,0.02745342,-0.03486387,-0.08266883,-0.14957013,0.07048078,-0.06258644,0.03139474,-0.0036505,-0.02274496,-0.00011333,0.0140471,0.07909048,-0.00672406,0.16643687,-0.0167452,-0.00315995,-0.01415202
-0.07137862,-0.01481259,-0.05559164,-0.0132339,-0.08781888,-0.02568968,0.02851321,0.05314253,0.06075681,-0.00132889,0.06717203,-0.07606928,0.10535573,-0.0557884,0.01513257,0.09243996,0.04387742,-0.04198103
-0.01865232,0.05048925,-0.07502327,-0.06810055,-0.12876587,-0.04091141,-0.03271822,0.02657689,0.00236387,0.04186697,0.09030367,-0.09454137,0.09367125,-0.07721061,0.09296573,0.08609363,0.01945977,-0.00648707
-0.06647506,-0.0822128,0.05393021,-0.06650785,-0.04162289,0.01925643,0.06665528,0.01343198,0.0640494,0.01418011,-0.02508701,0.00097686,0.06269674,0.00069317,0.06380206,0.0111902,-0.00471232,-0.04137961
0.01353994,-0.00271764,0.02206045,-0.02706076,-0.05302712,0.03991468,-0.00084895,-0.00984389,-0.00403435,0.01038676,-0.04371083,0.10117731,0.06516139,-0.03239147,0.0487384,0.00613594,-0.00434964,-0.0160369
-0.04630494,-0.05155778,-0.06168816,-0.03406926,0.01052004,-0.05089825,0.05816646,0.03107827,0.03986581,-0.02210999,-0.0076447,0.0343006,0.00104417,-0.02891032,-0.00708961,0.01946104,0.03580613,0.02135648
-0.06836059,-0.05234624,0.01996976,-0.07775291,-0.03041033,0.01191494,0.04429782,0.00294272,0.05694594,0.02467954,0.01416522,0.01902474,0.07715686,0.00323047,0.05604715,0.00610869,-0.01751731,-0.02007839
0.01577597,-0.00940374,0.0287618,-0.15471012,-0.14570216,0.05182843,0.0161675,-0.00220734,-0.012659,0.01338514,-0.0047841,-0.01413436,0.15941676,0.02907509,0.1246358,0.02323409,0.07251815,-0.09966988
0.03216701,0.0397274,0.05637009,-0.10310965,-0.14205873,0.0627368,-0.02547836,-0.03667685,-0.03164083,0.01274123,-0.022659,0.03924101,0.14609966,-0.04856042,0.08017059,0.05893862,0.03344203,-0.0958048
0.02815387,-0.00018543,0.01179475,-0.12295964,-0.07491038,0.00262006,-0.00641339,-0.05416163,-0.00818693,0.05170759,-0.0708552,0.03895375,0.08833688,0.12785678,0.10646232,-0.09804306,-0.01923383,-0.02388546
0.00850529,-0.00299137,0.00747899,-0.0980144,-0.08640364,-0.00892763,-0.00412512,-0.02109773,-0.01404327,0.00925536,-0.0429859,0.05954586,0.06535365,0.10402695,0.0964896,-0.05244745,-0.00731606,-0.01271949
0.03537578,0.0199919,0.03611922,-0.10488458,-0.10122005,0.00223917,-0.04603338,0.02664044,-0.03664199,0.01403761,-0.04635753,0.05978783,0.08827041,0.07334238,0.11161173,-0.05082755,0.00033942,0.03261362
0.01598976,0.03349712,0.01420044,-0.15057966,-0.11111561,0.03111183,-0.0505751,-0.02755737,-0.04327851,0.07350595,-0.05587541,0.07421135,0.11105624,-0.03037149,0.16677166,0.01501768,0.07186186,-0.09469172
0.03845983,0.00382045,-0.0099899,-0.01060402,-0.04732164,-0.01542755,-0.00387676,-0.09434391,-0.04063059,0.08583349,-0.06251622,0.05964573,0.0464982,-0.02836407,0.01877259,0.02879703,0.01796821,0.0189241
0.04494834,-0.01044831,-0.07107385,-0.08212274,-0.07754514,-0.01533348,-0.02494731,-0.01326547,0.01887225,-0.00281914,-0.08163521,0.05278568,0.11478912,-0.00302373,0.05592848,-0.00609268,0.0565478,0.00493536
0.04912893,0.05210238,-0.02745778,-0.05239863,-0.07927615,-0.01704218,-0.07815116,0.03670731,-0.00839599,-0.01074581,-0.03890248,0.01478886,0.08157503,0.00790183,0.04728574,-0.01454847,0.05682141,0.0091067
-0.03311496,-0.09249239,-0.10443516,-0.04362048,-0.13096066,-0.12497444,0.0273421,0.07764437,0.09219028,-0.09516455,0.01549121,0.01973626,0.10558295,0.02576991,0.1034296,-0.03326803,0.1597233,-0.1894663
-0.08471738,-0.10349395,-0.1554459,-0.04500984,-0.04820531,-0.11415885,0.02279012,0.09957854,0.15624325,-0.08195138,0.04208373,0.01125901,0.02269594,0.07850948,0.13538191,-0.12156886,0.12860201,-0.09656502
-0.11273472,-0.08070926,-0.00453501,-0.0559885,-0.05764569,0.10083877,0.03424417,0.12181154,0.09532778,-0.11984954,0.0493763,0.09580883,0.0462921,-0.05072427,0.08479867,0.03680216,-0.01260405,-0.02085623
-0.13588719,-0.14319744,-0.02606121,-0.02143792,-0.0269934,-0.0345753,0.16649703,0.05865024,0.13415616,-0.08668784,-0.04496193,-0.00594521,0.01778355,0.03027193,0.03090693,0.01256286,0.01565813,-0.00438695
-0.17063048,-0.186105,-0.0244415,0.02476802,-0.01957588,-0.01516349,0.20288028,0.04790516,0.16510784,-0.05599975,-0.02144748,-0.0071894,0.00850805,-0.02600617,-0.01031468,0.04181641,-0.03356627,0.01927242
-0.06821054,-0.13900998,0.01368098,-0.05297192,-0.05519942,-0.0307297,0.08526416,-0.01247667,0.17290368,-0.03429077,-0.02353321,0.00174653,0.03690062,-0.01167908,0.10696286,-0.01598306,0.05179684,-0.06224781
-0.06161657,-0.04993706,-0.01109261,-0.00285307,-0.05187685,-0.02645364,0.04702288,0.06346994,0.05262106,-0.03628865,0.0029518,0.02183035,0.01615952,-0.01514453,0.03629087,0.02747518,-0.01775616,0.03701669
-0.08199237,-0.08076223,-0.01513986,0.04674797,-0.04724215,-0.0293033,0.09432318,0.04516867,0.05231472,0.00742072,0.03380136,-0.01649864,-0.00316089,-0.01703898,0.00992365,0.01990654,-0.02855935,0.03259668
-0.06338272,-0.05401944,-0.013975,0.00711752,-0.0604467,0.02200595,0.04738942,0.08821918,0.05585112,-0.0472801,-0.00287422,0.0105317,0.02319046,-0.04319832,0.04446911,0.03569253,-0.02874171,0.02104813
-0.02558418,0.01068052,-0.0306542,-0.23570645,-0.17897417,-0.01203692,0.03910469,-0.02361969,-0.0589518,0.01223746,0.07994758,-0.05873203,0.16196444,0.11540808,0.22579422,-0.07918207,0.02388007,0.03274274
-0.04868323,0.00068964,-0.03246224,-0.1861902,-0.15582804,-0.01091435,0.05077368,-0.07201258,-0.0493857,0.06823424,0.11254574,-0.09203185,0.11578011,0.09126369,0.22221528,-0.09125185,-0.01911836,0.06460798
-0.03388446,-0.06058447,-0.03757909,-0.16538015,-0.13521416,-0.01059188,0.06824694,-0.01512754,-0.02386079,-0.0011018,0.06937815,-0.06603854,0.11551693,0.06778574,0.2009844,-0.03135336,0.00537635,0.01789884
-0.07878917,-0.02035006,-0.08478767,-0.07209318,-0.06187765,0.03689941,0.10099452,0.04062093,-0.01441516,-0.02223332,0.12461061,-0.10989054,0.06157481,0.00855629,0.10481479,-0.02844557,-0.09160634,0.08583482
-0.07209531,-0.07546163,-0.11724468,0.03399101,-0.03898461,-0.13318424,0.00382037,0.0526592,0.1231064,-0.0846294,0.06825212,0.01361607,0.03337649,0.01280605,0.02728296,-0.00911452,0.08058454,-0.12078215
-0.01038177,0.00798073,0.04523116,0.01728376,-0.02483701,0.02835804,0.01744697,0.01411653,-0.03299195,0.02806379,0.01591475,-0.00184475,-0.02394069,-0.08843015,0.08180312,0.01783767,-0.0471373,0.03692508
0.01931511,-0.00211673,0.06131261,-0.06857103,-0.043612,-0.16102345,0.01313807,-0.04200169,-0.13173924,0.11159467,0.14651354,-0.15473495,0.06315263,0.08179099,0.06351056,-0.03502303,0.16576974,-0.13332037
0.08500949,0.02365443,-0.01993841,-0.07335984,-0.12473723,-0.12056785,-0.08538562,0.00609742,-0.10005573,0.01735419,0.13730391,-0.11258288,0.11960205,0.11253591,0.12728653,-0.0707792,0.12491589,-0.10834141
0.10048939,0.15168341,0.05825065,-0.07393591,-0.00187447,-0.10749264,-0.11938403,-0.12701514,-0.15948171,0.13415337,-0.11344196,0.12524919,0.06440607,0.05428007,0.00331541,-0.01880861,0.11106465,-0.0154158
-0.02324046,-0.02664002,0.0337055,-0.09157744,-0.04059589,-0.0190096,0.05034573,-0.02763842,-0.00388164,0.00631265,-0.05573488,0.03543798,0.09745007,0.02319164,0.05279644,-0.0004179,-0.02886677,0.01863187
-0.0203558,-0.02133854,-0.00227598,-0.12847621,-0.10032604,-0.02917349,0.03401734,0.02699198,-0.00045842,-0.01584573,-0.04033806,0.06626092,0.13413999,0.03526607,0.10980861,-0.00161095,0.0357066,-0.02950818
-0.13360461,-0.1240627,-0.07231606,-0.09309622,-0.06810009,-0.03508074,0.1414812,0.03048075,0.12657427,-0.02675827,0.07673645,-0.07196029,0.05594375,0.01527905,0.09308933,0.02153278,-0.03233892,0.04933481
0.05078239,0.01606847,0.0408604,-0.03308298,0.02164431,-0.0491366,-0.01020271,-0.05984361,-0.0204027,0.07513268,-0.0494342,0.01540511,0.04065008,0.03918374,-0.00820078,-0.0173037,0.04801959,-0.04604529
-0.0460577,-0.05193384,0.04152898,-0.06045895,-0.11820914,0.02254364,0.07578717,0.00513629,0.02156725,-0.01449389,0.05865409,-0.03174664,0.06593784,0.06172792,0.14804068,-0.04586789,-0.06500362,0.01109331
-0.04415147,-0.0910705,0.10711917,-0.00294121,-0.01445322,0.06657665,0.09353978,-0.07039402,0.06864316,-0.01356047,0.0106626,0.03560271,-0.02383766,0.02594265,0.02751985,-0.03824371,-0.01269325,0.0009746
-0.02048131,-0.0235999,0.02428943,-0.02332606,-0.05238757,-0.03143963,0.08257441,0.00331077,-0.02255637,0.02028044,-0.03063656,0.07952027,0.00785284,0.04366872,0.05544437,0.00623883,-0.02933601,-0.01251869
-0.04848729,0.06792064,-0.17030409,-0.06557986,-0.11634207,-0.07337661,0.03455056,0.30363851,-0.04307351,-0.18743245,-0.08499557,0.1216592,0.02256614,0.21019842,0.14351025,-0.12134604,0.06659227,-0.12548779
-0.04264308,-0.01890169,-0.08366201,-0.11449451,-0.09264943,-0.01505728,-0.03128524,0.03841998,0.08715862,-0.01894251,0.02176556,-0.02222004,0.09385738,-0.02869013,0.09938308,0.05012745,0.0029593,-0.02428541
0.06666892,0.06970561,0.0225014,-0.0233996,-0.07885012,-0.00170198,-0.07166993,-0.05359814,-0.01537376,-0.01776449,-0.02677878,0.02155788,0.01585977,-0.03685514,0.05899119,0.0011389,-0.0452614,0.07640442
-0.09361846,-0.05818607,-0.05571954,-0.12851214,-0.08357375,0.05184029,0.08648141,0.10193529,0.09436464,-0.10947135,-0.00033904,0.01344261,0.09875474,-0.01880679,0.12818215,-0.02317568,-0.04125224,0.02225014
-0.08114389,-0.08694212,-0.03643618,-0.14808435,-0.12735249,-0.13747342,0.07721639,0.03568011,0.05360021,-0.01495057,-0.00456981,0.03906709,0.12835755,0.0807798,0.12641036,-0.02915948,0.09042894,-0.07095417
-0.06183501,-0.07446445,0.03907181,-0.05399265,-0.08536158,-0.07410403,0.12016727,-0.06549479,0.05587541,0.03838552,-0.0274638,-0.00894433,0.08122712,0.07787654,0.03933821,-0.00442778,0.07390893,-0.06185566
-0.05542231,-0.08125693,-0.03570083,-0.11139369,-0.11987504,-0.04583525,0.08519412,0.02908281,0.06686586,0.00680124,0.01744466,-0.02254539,0.11369637,0.02765658,0.10411486,-0.01504725,0.08564244,-0.07641308
-0.10590115,-0.0847401,0.00649107,-0.08655956,-0.04686721,0.03835477,0.08722066,-0.01911949,0.09237141,0.02302999,0.02690888,-0.01908914,0.053142,-0.06288342,0.08647385,0.04652289,0.04495815,-0.0400805
0.00802584,0.03695379,-0.02009884,-0.15471417,-0.11456667,0.05750882,0.01366401,0.05697701,-0.02527442,-0.02360982,-0.07838045,0.07985662,0.11453513,-0.09598894,0.14307616,0.03439769,0.01228437,-0.00172275
-0.06930328,-0.09861494,-0.06434014,-0.0603948,-0.12783461,-0.02217402,0.1122068,-0.0434695,0.05627822,0.02611817,0.03197777,0.00298682,0.07078123,0.04805344,0.11785848,-0.01734952,-0.00589223,-0.0294998
-0.05696236,-0.06935912,-0.04697691,-0.05753064,-0.14181574,0.01611244,0.0851094,-0.04055872,0.03213466,0.03953677,-0.01289826,0.06861835,0.07436659,-0.04266616,0.11948147,0.05460554,-0.0111035,0.00861547
-0.09570295,-0.10982079,-0.0812024,-0.06061012,-0.04973212,0.02612707,0.07063408,0.02710352,0.13517511,-0.04539065,0.04641778,-0.01049826,0.08035826,-0.01030431,0.0335664,0.01317965,-0.06428515,0.0582317
-0.08030435,-0.04597133,-0.05787891,-0.09333376,-0.06378859,0.00592114,0.07188457,0.00747814,0.06755524,0.01073144,0.05375729,-0.02315408,0.06540554,0.01224068,0.08086869,-0.04038549,0.00406721,0.0069565
-0.09820146,-0.08080928,-0.02443041,-0.12723609,-0.12604612,-0.072381,0.10181104,0.01805725,0.08839105,-0.01912604,0.04637389,-0.02292734,0.13842273,0.0847376,0.10489769,-0.04754822,0.01683221,-0.01328434
-0.05232309,-0.07535,0.04642612,-0.0462895,-0.05578117,0.02505526,0.06756465,-0.05622865,0.06962135,0.04045122,0.01038608,0.00452119,0.03359793,0.01911032,0.05551671,0.01028688,0.01523978,-0.01216258
-0.00268294,-0.05536022,0.00232714,-0.06762674,-0.07044857,0.02452884,0.0306841,-0.03133209,-0.00019283,0.0792197,0.02139578,-0.00815505,0.07061312,-0.00291417,0.0531459,0.02033421,0.0282701,-0.04052345
0.01588809,-0.00470359,0.01013288,-0.08097889,-0.07658026,0.04848924,-0.00902182,-0.05303887,-0.00751061,0.06093538,-0.05155514,0.05353319,0.08287285,-0.05364238,0.07199455,0.03766311,0.05956334,-0.07168683
-0.05263444,-0.05979718,-0.00049403,-0.05998225,-0.08654235,-0.08171593,0.03418206,-0.00216454,0.0845298,0.00697772,-0.10242391,0.07729882,0.0858865,0.03105946,0.08329117,-0.0106225,0.06140739,-0.11257351
-0.02517844,0.0134245,0.02336457,-0.14275744,-0.06176597,-0.00475937,0.04435812,-0.11618708,-0.04202391,0.08283936,0.06885067,-0.08210196,0.09981179,0.05785161,0.11371937,0.01764988,0.00626432,0.01230466
-0.0054492,-0.03814076,0.0001933,-0.13273342,-0.14070781,-0.068401,0.07796386,-0.00447745,-0.03212378,0.07268988,-0.09505339,0.02218596,0.20389427,0.05309072,0.09244435,-0.05818424,0.11278602,-0.067355
0.02503551,0.01481967,-0.0173543,-0.08476907,-0.04357331,0.00058336,-0.05734742,-0.02672154,-0.00422611,-0.01881501,0.00059166,0.02327094,0.10343257,-0.07076263,0.05130232,0.07477727,-0.02435661,-0.01087364
0.01305943,0.0162543,0.03352615,-0.01343324,-0.09776365,-0.00246647,-0.02842665,0.00706596,-0.00802648,-0.00995656,-0.0366679,0.01102181,0.04931665,-0.0290411,0.10183089,-0.02901927,-0.06707355,0.01468204
0.01045407,-0.01942432,-0.01233354,0.08690843,-0.00250695,0.03228022,0.00552432,-0.03976564,0.04829091,0.00311628,-0.0211822,0.01413656,-0.03156842,-0.06436692,-0.04021615,0.0209246,-0.03281806,0.03820039
-0.08564823,-0.08751423,-0.02047584,-0.01084482,-0.05027253,-0.02925995,0.10949709,-0.00983756,0.08667166,0.0033722,0.03193302,-0.05591904,0.0113375,0.05014955,0.04306727,-0.06415848,0.0369825,-0.00344315
0.01776113,-0.01677372,0.02248128,-0.04073755,-0.0384027,0.03799793,-0.00244099,-0.04781973,0.01765469,0.01573078,-0.031954,-0.00736241,0.04277972,-0.0185427,0.04188221,0.00565188,-0.01100723,0.00869881
0.00063079,0.03647506,-0.0623127,-0.0865645,-0.11917439,-0.00399174,-0.01368313,0.0515614,-0.04818528,-0.0219883,0.01084464,0.00193179,0.12770435,-0.07627764,0.06562276,0.11291954,0.0585259,-0.08490505
-0.01313442,0.00135642,-0.00244763,-0.01014692,-0.05427911,0.07117267,0.02668217,0.02247559,-0.03610921,-0.0220456,0.01277738,0.03564282,0.02696644,-0.09384379,0.01004151,0.13453151,0.01230634,-0.03016965
-0.02730322,-0.10806964,0.01835137,0.00819961,0.00428287,-0.09367437,0.05788924,0.0131129,0.07826997,-0.02418801,0.00167139,-0.00791918,0.01181345,0.0809227,0.00961543,-0.0955449,-0.00065876,0.01513333
-0.12164731,-0.06461069,-0.06665394,-0.14911233,-0.13588313,0.04651238,0.07465488,0.07763029,0.12795475,-0.07740205,0.005359,-0.0026306,0.09461761,-0.0134123,0.1496892,0.02419414,-0.04096465,-0.00873614
-0.02461419,-0.01451513,-0.07838715,-0.03321425,-0.03487627,-0.03190204,-0.00852474,0.03441567,0.0181459,-0.02180241,0.04566861,0.01990947,0.06182349,0.04466742,-0.00151332,-0.06975833,0.04947966,0.01185735
0.09157418,-0.00784895,0.02499275,-0.26080246,-0.19004346,-0.21695149,-0.03250119,0.0661533,-0.03678293,-0.06830821,-0.11869098,0.05512836,0.21289973,0.28123218,0.23049895,-0.21801584,0.26536206,-0.21226855
0.05677815,0.01069308,0.0145697,-0.09158072,-0.09247813,0.06865009,-0.03771435,0.01688235,-0.0297806,-0.02585459,0.06659089,-0.06458162,0.11302511,0.02018991,0.08334727,0.0117321,0.01356008,-0.01500345
