psekraac_0,psekraac_1,psekraac_2,psekraac_3
65,118,117,184
52,114,113,205
51,115,115,207
56,126,126,237
56,118,117,196
50,113,112,224
51,111,110,223
52,118,117,203
69,122,121,185
57,121,121,184
63,111,110,202
52,110,109,196
52,114,113,209
54,107,106,218
67,121,120,173
37,83,83,137
33,85,84,145
28,86,86,149
51,89,88,120
39,85,84,132
37,90,89,124
31,87,87,146
33,94,93,152
36,85,85,132
44,86,85,117
83,194,193,335
81,194,193,339
87,185,184,347
85,200,199,307
81,200,199,312
75,202,201,328
70,210,209,307
75,197,196,336
81,191,190,339
110,208,208,279
97,210,210,287
90,208,207,305
91,191,190,327
76,203,202,319
91,204,203,295
111,194,194,272
31,78,77,130
81,166,165,280
67,160,159,292
80,162,161,269
73,168,167,285
79,169,168,271
71,160,159,288
54,114,113,167
40,115,115,192
57,123,122,170
44,123,123,145
46,100,99,182
61,109,109,150
42,110,109,153
44,117,116,161
48,103,102,179
44,99,98,186
43,105,105,176
44,98,97,186
42,103,102,177
59,105,104,154
62,102,102,147
56,100,99,158
53,106,105,161
48,105,105,155
55,100,99,165
42,101,100,185
60,106,105,150
46,103,103,171
45,104,103,176
45,107,106,158
67,98,97,157
125,248,248,402
102,209,208,401
128,221,221,324
110,206,206,394
108,222,221,378
58,122,122,188
51,119,118,212
50,126,125,213
42,122,121,208
48,118,117,215
55,117,116,199
58,119,118,200
63,118,117,191
53,115,114,205
58,122,121,187
57,127,126,188
64,122,121,185
110,198,197,299
119,196,195,288
108,182,181,321
112,190,189,315
92,192,191,338
88,193,192,359
94,211,210,303
117,195,195,298
81,155,154,273
96,152,151,245
81,159,158,284
89,124,123,175
79,122,122,185
87,150,149,269
91,158,157,258
91,152,151,243
91,120,119,190
52,99,98,180
56,116,116,176
54,100,99,196
52,102,101,176
61,107,107,180
61,106,106,179
59,105,105,180
54,110,110,179
53,134,133,243
55,108,108,209
67,115,115,185
59,124,123,245
49,135,135,236
68,138,138,217
68,129,129,234
66,138,138,222
58,134,134,236
53,139,139,232
55,134,134,238
58,134,134,229
74,132,132,212
89,132,132,183
82,129,129,196
53,127,127,248
47,131,131,243
57,134,134,237
69,135,135,222
70,135,135,209
38,99,98,187
42,99,99,184
34,98,97,195
37,104,103,181
38,103,102,183
49,92,91,187
41,104,103,177
41,102,101,175
56,93,92,179
37,97,96,197
34,101,100,190
49,102,102,164
60,163,163,251
66,162,161,255
68,151,150,273
62,150,149,292
73,147,146,197
69,150,149,220
60,155,154,277
72,161,161,249
68,153,152,206
100,210,209,360
93,210,209,388
111,194,193,339
143,215,214,301
35,79,79,147
42,76,75,144
37,76,75,147
44,86,86,133
47,82,81,136
43,79,78,134
38,77,76,140
34,78,77,139
40,74,74,151
41,82,81,122
44,86,85,117
42,98,97,184
44,96,95,176
68,88,87,163
60,88,87,163
18,31,31,48
32,91,91,177
36,90,89,177
8,28,27,48
63,130,130,237
53,112,112,183
34,79,79,123
35,69,69,105
33,76,76,103
39,73,73,101
55,137,136,258
7,28,27,39
13,22,21,43
21,36,35,57
21,38,37,52
18,46,47,89
27,69,68,134
65,136,135,247
40,109,108,190
41,111,110,176
39,105,104,200
38,106,105,189
40,106,106,182
16,27,27,53
